"Classification","Value","FromEntry","FromFunction","Note"
"AdjacentAccessoryEnchantAsset","Accessory\Enchant\Enchant_BG.tga","0125ed60","FUN_0125ed60","Shared EnchantOption/DigiPower cluster also serves accessory enchant; not the main Digimon advance screenshot."
"AdjacentAccessoryEnchantAsset","Accessory\Enchant\Enchant_EnchantBtn.tga","01267bd0","FUN_01267bd0","Shared EnchantOption/DigiPower cluster also serves accessory enchant; not the main Digimon advance screenshot."
"AdjacentAccessoryEnchantAsset","Accessory\Identify\Identify_Bar.tga","0125ea10","FUN_0125ea10","Shared EnchantOption/DigiPower cluster also serves accessory enchant; not the main Digimon advance screenshot."
"AdjacentAccessoryEnchantAsset","Accessory\Identify\Identify_BarBG.tga","0125ea10","FUN_0125ea10","Shared EnchantOption/DigiPower cluster also serves accessory enchant; not the main Digimon advance screenshot."
"AdjacentAccessoryEnchantAsset","Accessory\Identify\Identify_BarMask.tga","0125ea10","FUN_0125ea10","Shared EnchantOption/DigiPower cluster also serves accessory enchant; not the main Digimon advance screenshot."
"AdjacentSharedClassAsset","Encyclopedia\NewEncyclopedia\Icon\Encyclopedia_512.png","011e3360","FUN_011e3360","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"AdjacentSharedClassAsset","Encyclopedia\NewEncyclopedia\rate_frame\Attribute_Bar.png","011e3360","FUN_011e3360","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"AdjacentSharedClassAsset","EventPopup\Event_popup_Background.png","011e3360","FUN_011e3360","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"AdjacentSharedClassAsset","Mail\Mail_Item_Icon.tga","011e3360","FUN_011e3360","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"AdjacentSharedClassAsset","Random_box\bar_arrow.png","01267bd0","FUN_01267bd0","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"AdjacentSharedClassAsset","SeasonPass\Pass_ExpPopup_bg.png","01267bd0","FUN_01267bd0","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"AdjacentSharedClassAsset","system\Accessory\Digivice.nif","0125f6e0","FUN_0125f6e0","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"AdjacentSharedClassAsset","system\Accessory\Earring.nif","0125f6e0","FUN_0125f6e0","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"AdjacentSharedClassAsset","system\Accessory\Necklace.nif","0125f6e0","FUN_0125f6e0","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"AdjacentSharedClassAsset","system\Accessory\Ring.nif","0125f6e0","FUN_0125f6e0","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"AdjacentSharedClassAsset","System\JewelSuccess.wav","0125f6e0","FUN_0125f6e0","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"AdjacentSharedClassAsset","System\System_return_01.wav","0125ea10","FUN_0125ea10","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"AdjacentSharedClassAsset","Union\Unlock_bg.tga","011e3360","FUN_011e3360","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"AdjacentSharedClassAsset","Union\Unlock_frame.tga","011e3360","FUN_011e3360","Referenced by a copied shared class/function; keep for trace but verify visually before port."
"SharedLevelEffect","system\LevelEffect\Blue_K07.nif","014484b0","FUN_014484b0","Shared level effect loaded by the same effect function; not unique to screenshot."
"SharedLevelEffect","system\LevelEffect\Blue_K08.nif","014484b0","FUN_014484b0","Shared level effect loaded by the same effect function; not unique to screenshot."
"SharedLevelEffect","system\LevelEffect\Blue_K09.nif","014484b0","FUN_014484b0","Shared level effect loaded by the same effect function; not unique to screenshot."
"SharedLevelEffect","system\LevelEffect\Pupple_K10.nif","014484b0","FUN_014484b0","Shared level effect loaded by the same effect function; not unique to screenshot."
"SharedLevelEffect","system\LevelEffect\Pupple_K11.nif","014484b0","FUN_014484b0","Shared level effect loaded by the same effect function; not unique to screenshot."
"SharedLevelEffect","system\LevelEffect\Pupple_K12.nif","014484b0","FUN_014484b0","Shared level effect loaded by the same effect function; not unique to screenshot."
"SharedLevelEffect","system\LevelEffect\Red_K15.nif","014484b0","FUN_014484b0","Shared level effect loaded by the same effect function; not unique to screenshot."
"SharedLevelEffect","system\LevelEffect\Red_K16.nif","014484b0","FUN_014484b0","Shared level effect loaded by the same effect function; not unique to screenshot."
"SharedLevelEffect","system\LevelEffect\Sky_K04.nif","014484b0","FUN_014484b0","Shared level effect loaded by the same effect function; not unique to screenshot."
"SharedLevelEffect","system\LevelEffect\Sky_K05.nif","014484b0","FUN_014484b0","Shared level effect loaded by the same effect function; not unique to screenshot."
"SharedLevelEffect","system\LevelEffect\Sky_K06.nif","014484b0","FUN_014484b0","Shared level effect loaded by the same effect function; not unique to screenshot."
